avgCharCount,lang
2646.390156062425,lt
5681.299401197605,be
6635.193251533742,ba
6805.315719063545,uk
7950.363112391931,hy
8619.364782431883,ru
10638.473240350308,de
11125.791411042945,fr
16012.591341795105,en
